"Date","ICNDRRCA"
2021-04-01,0.78
2021-05-01,0.78
2021-06-01,0.78
2021-07-01,0.78
2021-08-01,0.78
2021-09-01,0.78
2021-10-01,0.78
2021-11-01,0.78
2021-12-01,0.78
2022-01-01,0.78
2022-02-01,0.78
2022-03-01,0.78
2022-04-01,0.78
2022-05-01,0.78
2022-06-01,0.78
2022-07-01,0.78
2022-08-01,0.78
2022-09-01,0.79
2022-10-01,0.79
2022-11-01,0.79
2022-12-01,0.8
2023-01-01,0.81
2023-02-01,0.81
2023-03-01,0.81
2023-04-01,0.81
2023-05-01,0.81
2023-06-01,0.82
2023-07-01,0.82
2023-08-01,0.82
2023-09-01,0.82
2023-10-01,0.82
2023-11-01,0.82
