"Date","T7YIEM"
2003-01-01,1.5
2003-02-01,1.71
2003-03-01,1.74
2003-04-01,1.62
2003-05-01,1.46
2003-06-01,1.47
2003-07-01,1.69
2003-08-01,1.99
2003-09-01,1.94
2003-10-01,2.07
2003-11-01,2.17
2003-12-01,2.15
2004-01-01,2.17
2004-02-01,2.28
2004-03-01,2.33
2004-04-01,2.4
2004-05-01,2.54
2004-06-01,2.55
2004-07-01,2.43
2004-08-01,2.39
2004-09-01,2.29
2004-10-01,2.4
2004-11-01,2.61
2004-12-01,2.65
2005-01-01,2.57
2005-02-01,2.64
2005-03-01,2.84
2005-04-01,2.74
2005-05-01,2.53
2005-06-01,2.37
2005-07-01,2.31
2005-08-01,2.39
2005-09-01,2.52
2005-10-01,2.56
2005-11-01,2.45
2005-12-01,2.31
2006-01-01,2.39
2006-02-01,2.54
2006-03-01,2.56
2006-04-01,2.6
2006-05-01,2.67
2006-06-01,2.6
2006-07-01,2.57
2006-08-01,2.54
2006-09-01,2.33
2006-10-01,2.24
2006-11-01,2.23
2006-12-01,2.26
2007-01-01,2.28
2007-02-01,2.33
2007-03-01,2.36
2007-04-01,2.42
2007-05-01,2.37
2007-06-01,2.38
2007-07-01,2.3
2007-08-01,2.08
2007-09-01,2.09
2007-10-01,2.18
2007-11-01,2.22
2007-12-01,2.12
2008-01-01,2.07
2008-02-01,2.12
2008-03-01,2.2
2008-04-01,2.19
2008-05-01,2.3
2008-06-01,2.38
2008-07-01,2.36
2008-08-01,1.99
2008-09-01,1.54
2008-10-01,0.23
2008-11-01,-1.02
2008-12-01,-0.07
2009-01-01,0.26
2009-02-01,0.82
2009-03-01,0.99
2009-04-01,1.18
2009-05-01,1.47
2009-06-01,1.89
2009-07-01,1.7
2009-08-01,1.72
2009-09-01,1.73
2009-10-01,1.84
2009-11-01,2.08
2009-12-01,2.21
2010-01-01,2.36
2010-02-01,2.22
2010-03-01,2.08
2010-04-01,2.18
2010-05-01,2
2010-06-01,1.9
2010-07-01,1.7
2010-08-01,1.59
2010-09-01,1.59
2010-10-01,1.83
2010-11-01,1.85
2010-12-01,2.01
2011-01-01,2.1
2011-02-01,2.12
2011-03-01,2.26
2011-04-01,2.35
2011-05-01,2.22
2011-06-01,2.08
2011-07-01,2.19
2011-08-01,1.99
2011-09-01,1.81
2011-10-01,1.9
2011-11-01,1.91
2011-12-01,1.87
2012-01-01,1.93
2012-02-01,2.06
2012-03-01,2.13
2012-04-01,2.08
2012-05-01,2
2012-06-01,1.9
2012-07-01,1.9
2012-08-01,2.08
2012-09-01,2.29
2012-10-01,2.33
2012-11-01,2.21
2012-12-01,2.26
2013-01-01,2.34
2013-02-01,2.29
2013-03-01,2.29
2013-04-01,2.12
2013-05-01,2
2013-06-01,1.92
2013-07-01,1.97
2013-08-01,2
2013-09-01,1.88
2013-10-01,1.88
2013-11-01,1.89
2013-12-01,1.82
2014-01-01,1.84
2014-02-01,1.85
2014-03-01,1.86
2014-04-01,1.89
2014-05-01,1.91
2014-06-01,1.96
2014-07-01,1.99
2014-08-01,1.93
2014-09-01,1.84
2014-10-01,1.66
2014-11-01,1.66
2014-12-01,1.51
2015-01-01,1.43
2015-02-01,1.57
2015-03-01,1.61
2015-04-01,1.7
2015-05-01,1.66
2015-06-01,1.71
2015-07-01,1.62
2015-08-01,1.42
2015-09-01,1.36
2015-10-01,1.37
2015-11-01,1.47
2015-12-01,1.45
2016-01-01,1.36
2016-02-01,1.23
2016-03-01,1.52
2016-04-01,1.6
2016-05-01,1.64
2016-06-01,1.51
2016-07-01,1.49
2016-08-01,1.46
2016-09-01,1.51
2016-10-01,1.66
2016-11-01,1.82
2016-12-01,1.93
2017-01-01,1.96
2017-02-01,1.93
2017-03-01,1.88
2017-04-01,1.82
2017-05-01,1.82
2017-06-01,1.69
2017-07-01,1.71
2017-08-01,1.68
2017-09-01,1.72
2017-10-01,1.78
2017-11-01,1.8
2017-12-01,1.84
2018-01-01,2
2018-02-01,2.05
2018-03-01,2.06
2018-04-01,2.1
2018-05-01,2.11
2018-06-01,2.11
2018-07-01,2.09
2018-08-01,2.05
2018-09-01,2.08
2018-10-01,2.06
2018-11-01,1.93
2018-12-01,1.71
2019-01-01,1.7
2019-02-01,1.81
2019-03-01,1.87
2019-04-01,1.89
2019-05-01,1.78
2019-06-01,1.63
2019-07-01,1.66
2019-08-01,1.48
2019-09-01,1.51
2019-10-01,1.5
2019-11-01,1.62
2019-12-01,1.7
2020-01-01,1.71
2020-02-01,1.62
2020-03-01,0.9
2020-04-01,0.99
2020-05-01,0.97
2020-06-01,1.17
2020-07-01,1.41
2020-08-01,1.63
2020-09-01,1.6
2020-10-01,1.65
2020-11-01,1.69
2020-12-01,1.9
2021-01-01,2.08
2021-02-01,2.26
2021-03-01,2.41
2021-04-01,2.42
2021-05-01,2.53
2021-06-01,2.41
2021-07-01,2.39
2021-08-01,2.4
2021-09-01,2.44
2021-10-01,2.68
2021-11-01,2.84
2021-12-01,2.64
2022-01-01,2.64
2022-02-01,2.69
2022-03-01,3.14
2022-04-01,3.12
2022-05-01,2.88
2022-06-01,2.79
2022-07-01,2.52
2022-08-01,2.62
2022-09-01,2.46
2022-10-01,2.45
2022-11-01,2.43
2022-12-01,2.33
2023-01-01,2.25
2023-02-01,2.41
2023-03-01,2.38
2023-04-01,2.29
2023-05-01,2.19
2023-06-01,2.2
2023-07-01,2.29
2023-08-01,2.33
2023-09-01,2.35
2023-10-01,2.39
2023-11-01,2.31
