"Date","HQMCB5YR"
2005-03-01,4.73
2005-04-01,4.67
2005-05-01,4.55
2005-06-01,4.45
2005-07-01,4.64
2005-08-01,4.74
2005-09-01,4.66
2005-10-01,4.99
2005-11-01,5.14
2005-12-01,5.1
2006-01-01,5.07
2006-02-01,5.27
2006-03-01,5.39
2006-04-01,5.59
2006-05-01,5.68
2006-06-01,5.78
2006-07-01,5.76
2006-08-01,5.53
2006-09-01,5.37
2006-10-01,5.37
2006-11-01,5.23
2006-12-01,5.15
2007-01-01,5.35
2007-02-01,5.29
2007-03-01,5.13
2007-04-01,5.27
2007-05-01,5.36
2007-06-01,5.75
2007-07-01,5.74
2007-08-01,5.62
2007-09-01,5.53
2007-10-01,5.41
2007-11-01,5.27
2007-12-01,5.3
2008-01-01,4.92
2008-02-01,4.89
2008-03-01,5.09
2008-04-01,5.26
2008-05-01,5.33
2008-06-01,5.71
2008-07-01,6.02
2008-08-01,6.04
2008-09-01,6.68
2008-10-01,8.18
2008-11-01,7.64
2008-12-01,6.84
2009-01-01,5.9
2009-02-01,6.23
2009-03-01,6.88
2009-04-01,6.2
2009-05-01,5.59
2009-06-01,5.3
2009-07-01,4.72
2009-08-01,4.37
2009-09-01,4.02
2009-10-01,3.95
2009-11-01,3.77
2009-12-01,3.79
2010-01-01,3.77
2010-02-01,3.82
2010-03-01,3.79
2010-04-01,3.79
2010-05-01,3.72
2010-06-01,3.68
2010-07-01,3.31
2010-08-01,2.94
2010-09-01,2.91
2010-10-01,2.66
2010-11-01,2.82
2010-12-01,3.41
2011-01-01,3.33
2011-02-01,3.48
2011-03-01,3.33
2011-04-01,3.36
2011-05-01,3.07
2011-06-01,3.02
2011-07-01,3.02
2011-08-01,2.98
2011-09-01,3.04
2011-10-01,3.15
2011-11-01,2.98
2011-12-01,3.04
2012-01-01,2.78
2012-02-01,2.44
2012-03-01,2.47
2012-04-01,2.4
2012-05-01,2.4
2012-06-01,2.35
2012-07-01,1.83
2012-08-01,1.76
2012-09-01,1.64
2012-10-01,1.54
2012-11-01,1.51
2012-12-01,1.56
2013-01-01,1.63
2013-02-01,1.67
2013-03-01,1.64
2013-04-01,1.54
2013-05-01,1.64
2013-06-01,2.14
2013-07-01,2.35
2013-08-01,2.45
2013-09-01,2.55
2013-10-01,2.28
2013-11-01,2.25
2013-12-01,2.37
2014-01-01,2.34
2014-02-01,2.22
2014-03-01,2.31
2014-04-01,2.32
2014-05-01,2.19
2014-06-01,2.26
2014-07-01,2.27
2014-08-01,2.22
2014-09-01,2.41
2014-10-01,2.25
2014-11-01,2.37
2014-12-01,2.38
2015-01-01,2.11
2015-02-01,2.13
2015-03-01,2.17
2015-04-01,2.01
2015-05-01,2.22
2015-06-01,2.51
2015-07-01,2.54
2015-08-01,2.55
2015-09-01,2.51
2015-10-01,2.4
2015-11-01,2.55
2015-12-01,2.52
2016-01-01,2.42
2016-02-01,2.28
2016-03-01,2.23
2016-04-01,1.98
2016-05-01,2.03
2016-06-01,1.93
2016-07-01,1.79
2016-08-01,1.81
2016-09-01,1.88
2016-10-01,1.99
2016-11-01,2.36
2016-12-01,2.71
2017-01-01,2.65
2017-02-01,2.61
2017-03-01,2.7
2017-04-01,2.51
2017-05-01,2.49
2017-06-01,2.42
2017-07-01,2.47
2017-08-01,2.4
2017-09-01,2.42
2017-10-01,2.51
2017-11-01,2.61
2017-12-01,2.71
2018-01-01,2.88
2018-02-01,3.15
2018-03-01,3.31
2018-04-01,3.39
2018-05-01,3.52
2018-06-01,3.52
2018-07-01,3.49
2018-08-01,3.42
2018-09-01,3.53
2018-10-01,3.68
2018-11-01,3.75
2018-12-01,3.63
2019-01-01,3.42
2019-02-01,3.18
2019-03-01,3.02
2019-04-01,2.94
2019-05-01,2.87
2019-06-01,2.55
2019-07-01,2.44
2019-08-01,2.16
2019-09-01,2.23
2019-10-01,2.15
2019-11-01,2.21
2019-12-01,2.2
2020-01-01,2.07
2020-02-01,1.86
2020-03-01,2.31
2020-04-01,1.78
2020-05-01,1.43
2020-06-01,1.06
2020-07-01,0.89
2020-08-01,0.79
2020-09-01,0.8
2020-10-01,0.86
2020-11-01,0.86
2020-12-01,0.85
2021-01-01,0.89
2021-02-01,0.98
2021-03-01,1.33
2021-04-01,1.32
2021-05-01,1.26
2021-06-01,1.22
2021-07-01,1.14
2021-08-01,1.18
2021-09-01,1.27
2021-10-01,1.5
2021-11-01,1.62
2021-12-01,1.68
2022-01-01,2
2022-02-01,2.39
2022-03-01,2.87
2022-04-01,3.53
2022-05-01,3.78
2022-06-01,4.13
2022-07-01,3.97
2022-08-01,4
2022-09-01,4.7
2022-10-01,5.3
2022-11-01,5.1
2022-12-01,4.75
2023-01-01,4.6
2023-02-01,4.82
2023-03-01,4.87
2023-04-01,4.59
2023-05-01,4.7
2023-06-01,4.96
2023-07-01,5.05
2023-08-01,5.21
2023-09-01,5.38
2023-10-01,5.76
2023-11-01,5.39
