"Date","NDR48MCD"
2021-04-01,0.23
2021-05-01,0.19
2021-06-01,0.22
2021-07-01,0.21
2021-08-01,0.21
2021-09-01,0.22
2021-10-01,0.22
2021-11-01,0.22
2021-12-01,0.19
2022-01-01,0.22
2022-02-01,0.22
2022-03-01,0.22
2022-04-01,0.23
2022-05-01,0.26
2022-06-01,0.31
2022-07-01,0.45
2022-08-01,0.55
2022-09-01,0.63
2022-10-01,0.73
2022-11-01,0.86
2022-12-01,0.97
2023-01-01,1.11
2023-02-01,1.15
2023-03-01,1.25
2023-04-01,1.25
2023-05-01,1.29
2023-06-01,1.3
2023-07-01,1.3
2023-08-01,1.3
2023-09-01,1.31
2023-10-01,1.3
2023-11-01,1.3
