"Date","HQMCB20YR"
1984-01-01,11.27
1984-02-01,11.77
1984-03-01,12.15
1984-04-01,12.25
1984-05-01,12.79
1984-06-01,12.81
1984-07-01,12.81
1984-08-01,12.43
1984-09-01,12.5
1984-10-01,11.91
1984-11-01,11.69
1984-12-01,11.96
1985-01-01,11.74
1985-02-01,11.43
1985-03-01,11.73
1985-04-01,11.48
1985-05-01,11.27
1985-06-01,10.9
1985-07-01,11.27
1985-08-01,11.29
1985-09-01,11.47
1985-10-01,11.27
1985-11-01,10.84
1985-12-01,10.49
1986-01-01,9.87
1986-02-01,9.83
1986-03-01,9.26
1986-04-01,8.92
1986-05-01,9.21
1986-06-01,9.55
1986-07-01,9.53
1986-08-01,9.51
1986-09-01,9.61
1986-10-01,9.76
1986-11-01,9.61
1986-12-01,9.35
1987-01-01,9.04
1987-02-01,9.05
1987-03-01,8.97
1987-04-01,9.64
1987-05-01,10.18
1987-06-01,10.06
1987-07-01,10.09
1987-08-01,10.28
1987-09-01,10.68
1987-10-01,10.77
1987-11-01,10.2
1987-12-01,10.27
1988-01-01,9.88
1988-02-01,9.52
1988-03-01,9.64
1988-04-01,10.01
1988-05-01,10.36
1988-06-01,10.17
1988-07-01,10.26
1988-08-01,10.29
1988-09-01,10.06
1988-10-01,9.88
1988-11-01,9.86
1988-12-01,9.86
1989-01-01,9.83
1989-02-01,9.88
1989-03-01,9.96
1989-04-01,9.79
1989-05-01,9.64
1989-06-01,9.23
1989-07-01,9.09
1989-08-01,9.08
1989-09-01,9.12
1989-10-01,9.02
1989-11-01,8.94
1989-12-01,8.95
1990-01-01,9.13
1990-02-01,9.37
1990-03-01,9.46
1990-04-01,9.6
1990-05-01,9.7
1990-06-01,9.52
1990-07-01,9.54
1990-08-01,10
1990-09-01,10.17
1990-10-01,10.21
1990-11-01,10.03
1990-12-01,9.77
1991-01-01,9.73
1991-02-01,9.46
1991-03-01,9.66
1991-04-01,9.49
1991-05-01,9.54
1991-06-01,9.7
1991-07-01,9.67
1991-08-01,9.43
1991-09-01,9.29
1991-10-01,9.37
1991-11-01,9.39
1991-12-01,9.16
1992-01-01,9.03
1992-02-01,9.17
1992-03-01,9.2
1992-04-01,9.14
1992-05-01,9.06
1992-06-01,8.97
1992-07-01,8.84
1992-08-01,8.68
1992-09-01,8.65
1992-10-01,8.88
1992-11-01,8.9
1992-12-01,8.65
1993-01-01,8.56
1993-02-01,8.26
1993-03-01,8
1993-04-01,8.06
1993-05-01,8.14
1993-06-01,8.02
1993-07-01,7.77
1993-08-01,7.47
1993-09-01,7.24
1993-10-01,7.23
1993-11-01,7.52
1993-12-01,7.5
1994-01-01,7.5
1994-02-01,7.63
1994-03-01,8.01
1994-04-01,8.39
1994-05-01,8.46
1994-06-01,8.48
1994-07-01,8.62
1994-08-01,8.54
1994-09-01,8.8
1994-10-01,8.99
1994-11-01,9.04
1994-12-01,8.74
1995-01-01,8.72
1995-02-01,8.55
1995-03-01,8.48
1995-04-01,8.42
1995-05-01,8
1995-06-01,7.63
1995-07-01,7.79
1995-08-01,7.94
1995-09-01,7.66
1995-10-01,7.44
1995-11-01,7.33
1995-12-01,7.1
1996-01-01,7.09
1996-02-01,7.38
1996-03-01,7.73
1996-04-01,7.88
1996-05-01,7.98
1996-06-01,8.1
1996-07-01,8.05
1996-08-01,7.84
1996-09-01,8.03
1996-10-01,7.77
1996-11-01,7.45
1996-12-01,7.53
1997-01-01,7.77
1997-02-01,7.63
1997-03-01,7.87
1997-04-01,8.05
1997-05-01,7.93
1997-06-01,7.74
1997-07-01,7.43
1997-08-01,7.5
1997-09-01,7.4
1997-10-01,7.26
1997-11-01,7.11
1997-12-01,6.98
1998-01-01,6.86
1998-02-01,6.94
1998-03-01,6.96
1998-04-01,6.92
1998-05-01,6.91
1998-06-01,6.7
1998-07-01,6.75
1998-08-01,6.78
1998-09-01,6.79
1998-10-01,6.83
1998-11-01,6.92
1998-12-01,6.68
1999-01-01,6.68
1999-02-01,6.81
1999-03-01,7
1999-04-01,6.98
1999-05-01,7.29
1999-06-01,7.6
1999-07-01,7.57
1999-08-01,7.76
1999-09-01,7.81
1999-10-01,7.94
1999-11-01,7.71
1999-12-01,7.88
2000-01-01,8.08
2000-02-01,7.94
2000-03-01,7.97
2000-04-01,7.98
2000-05-01,8.42
2000-06-01,8.07
2000-07-01,7.97
2000-08-01,7.89
2000-09-01,8.06
2000-10-01,8.13
2000-11-01,8.09
2000-12-01,7.87
2001-01-01,7.66
2001-02-01,7.56
2001-03-01,7.48
2001-04-01,7.75
2001-05-01,7.71
2001-06-01,7.55
2001-07-01,7.5
2001-08-01,7.36
2001-09-01,7.7
2001-10-01,7.39
2001-11-01,7.06
2001-12-01,7.19
2002-01-01,7.05
2002-02-01,6.97
2002-03-01,7.24
2002-04-01,7.27
2002-05-01,7.29
2002-06-01,7.16
2002-07-01,7.29
2002-08-01,7.16
2002-09-01,6.79
2002-10-01,7.02
2002-11-01,6.82
2002-12-01,6.64
2003-01-01,6.58
2003-02-01,6.41
2003-03-01,6.39
2003-04-01,6.36
2003-05-01,5.9
2003-06-01,5.73
2003-07-01,6.31
2003-08-01,6.75
2003-09-01,6.52
2003-10-01,6.5
2003-11-01,6.41
2003-12-01,6.36
2004-01-01,6.25
2004-02-01,6.21
2004-03-01,6.03
2004-04-01,6.43
2004-05-01,6.73
2004-06-01,6.68
2004-07-01,6.5
2004-08-01,6.33
2004-09-01,6.15
2004-10-01,6.1
2004-11-01,6.06
2004-12-01,5.99
2005-01-01,5.85
2005-02-01,5.64
2005-03-01,5.88
2005-04-01,5.82
2005-05-01,5.7
2005-06-01,5.48
2005-07-01,5.59
2005-08-01,5.62
2005-09-01,5.66
2005-10-01,5.9
2005-11-01,5.98
2005-12-01,5.9
2006-01-01,5.83
2006-02-01,5.87
2006-03-01,6.05
2006-04-01,6.39
2006-05-01,6.52
2006-06-01,6.52
2006-07-01,6.49
2006-08-01,6.3
2006-09-01,6.14
2006-10-01,6.11
2006-11-01,5.9
2006-12-01,5.88
2007-01-01,6.04
2007-02-01,6.01
2007-03-01,5.99
2007-04-01,6.13
2007-05-01,6.14
2007-06-01,6.45
2007-07-01,6.45
2007-08-01,6.48
2007-09-01,6.39
2007-10-01,6.26
2007-11-01,6.31
2007-12-01,6.49
2008-01-01,6.48
2008-02-01,6.75
2008-03-01,6.84
2008-04-01,6.75
2008-05-01,6.73
2008-06-01,6.95
2008-07-01,7.09
2008-08-01,7.03
2008-09-01,7.28
2008-10-01,8.16
2008-11-01,8.09
2008-12-01,6.94
2009-01-01,6.79
2009-02-01,7.19
2009-03-01,7.69
2009-04-01,7.21
2009-05-01,7.13
2009-06-01,6.77
2009-07-01,6.61
2009-08-01,6.3
2009-09-01,6.06
2009-10-01,6.03
2009-11-01,6.14
2009-12-01,6.27
2010-01-01,6.27
2010-02-01,6.41
2010-03-01,6.31
2010-04-01,6.22
2010-05-01,6
2010-06-01,5.97
2010-07-01,5.78
2010-08-01,5.55
2010-09-01,5.56
2010-10-01,5.68
2010-11-01,5.9
2010-12-01,6.03
2011-01-01,6.02
2011-02-01,6.11
2011-03-01,6.02
2011-04-01,6.01
2011-05-01,5.79
2011-06-01,5.84
2011-07-01,5.81
2011-08-01,5.45
2011-09-01,5.25
2011-10-01,5.18
2011-11-01,5.05
2011-12-01,5.02
2012-01-01,4.98
2012-02-01,4.94
2012-03-01,5.04
2012-04-01,5
2012-05-01,4.82
2012-06-01,4.67
2012-07-01,4.37
2012-08-01,4.43
2012-09-01,4.51
2012-10-01,4.38
2012-11-01,4.34
2012-12-01,4.46
2013-01-01,4.61
2013-02-01,4.72
2013-03-01,4.76
2013-04-01,4.53
2013-05-01,4.68
2013-06-01,5.11
2013-07-01,5.23
2013-08-01,5.38
2013-09-01,5.41
2013-10-01,5.28
2013-11-01,5.39
2013-12-01,5.37
2014-01-01,5.18
2014-02-01,5.08
2014-03-01,4.99
2014-04-01,4.84
2014-05-01,4.7
2014-06-01,4.74
2014-07-01,4.66
2014-08-01,4.58
2014-09-01,4.67
2014-10-01,4.5
2014-11-01,4.57
2014-12-01,4.42
2015-01-01,4.08
2015-02-01,4.15
2015-03-01,4.2
2015-04-01,4.18
2015-05-01,4.63
2015-06-01,4.85
2015-07-01,4.83
2015-08-01,4.69
2015-09-01,4.8
2015-10-01,4.74
2015-11-01,4.85
2015-12-01,4.79
2016-01-01,4.79
2016-02-01,4.76
2016-03-01,4.6
2016-04-01,4.38
2016-05-01,4.32
2016-06-01,4.17
2016-07-01,3.92
2016-08-01,3.93
2016-09-01,4.02
2016-10-01,4.12
2016-11-01,4.45
2016-12-01,4.59
2017-01-01,4.44
2017-02-01,4.46
2017-03-01,4.5
2017-04-01,4.37
2017-05-01,4.35
2017-06-01,4.15
2017-07-01,4.16
2017-08-01,4.1
2017-09-01,4.11
2017-10-01,4.08
2017-11-01,4.02
2017-12-01,3.93
2018-01-01,4
2018-02-01,4.25
2018-03-01,4.29
2018-04-01,4.31
2018-05-01,4.46
2018-06-01,4.49
2018-07-01,4.45
2018-08-01,4.43
2018-09-01,4.53
2018-10-01,4.66
2018-11-01,4.77
2018-12-01,4.61
2019-01-01,4.57
2019-02-01,4.43
2019-03-01,4.38
2019-04-01,4.26
2019-05-01,4.17
2019-06-01,3.97
2019-07-01,3.82
2019-08-01,3.42
2019-09-01,3.48
2019-10-01,3.49
2019-11-01,3.51
2019-12-01,3.45
2020-01-01,3.35
2020-02-01,3.15
2020-03-01,3.5
2020-04-01,3.26
2020-05-01,3.34
2020-06-01,3.18
2020-07-01,2.83
2020-08-01,2.84
2020-09-01,2.96
2020-10-01,3.05
2020-11-01,2.92
2020-12-01,2.84
2021-01-01,2.99
2021-02-01,3.2
2021-03-01,3.51
2021-04-01,3.37
2021-05-01,3.41
2021-06-01,3.23
2021-07-01,3
2021-08-01,3
2021-09-01,3
2021-10-01,3.14
2021-11-01,3.07
2021-12-01,3.07
2022-01-01,3.36
2022-02-01,3.7
2022-03-01,3.99
2022-04-01,4.35
2022-05-01,4.8
2022-06-01,4.93
2022-07-01,4.85
2022-08-01,4.79
2022-09-01,5.32
2022-10-01,5.9
2022-11-01,5.65
2022-12-01,5.13
2023-01-01,5.02
2023-02-01,5.14
2023-03-01,5.26
2023-04-01,5.12
2023-05-01,5.33
2023-06-01,5.29
2023-07-01,5.28
2023-08-01,5.57
2023-09-01,5.7
2023-10-01,6.24
2023-11-01,5.87
