"Date","M1333AUSM156NNBR"
1919-01-01,4.63
1919-02-01,4.7
1919-03-01,4.73
1919-04-01,4.72
1919-05-01,4.67
1919-06-01,4.69
1919-07-01,4.72
1919-08-01,4.78
1919-09-01,4.73
1919-10-01,4.71
1919-11-01,4.81
1919-12-01,4.9
1920-01-01,4.93
1920-02-01,5.05
1920-03-01,5.09
1920-04-01,5.28
1920-05-01,5.58
1920-06-01,5.54
1920-07-01,5.57
1920-08-01,5.67
1920-09-01,5.43
1920-10-01,5.08
1920-11-01,5.21
1920-12-01,5.4
1921-01-01,5.23
1921-02-01,5.28
1921-03-01,5.27
1921-04-01,5.24
1921-05-01,5.25
1921-06-01,5.27
1921-07-01,5.26
1921-08-01,5.22
1921-09-01,5.12
1921-10-01,4.83
1921-11-01,4.64
1921-12-01,4.47
1922-01-01,4.45
1922-02-01,4.5
1922-03-01,4.41
1922-04-01,4.28
1922-05-01,4.26
1922-06-01,4.24
1922-07-01,4.14
1922-08-01,4.12
1922-09-01,4.19
1922-10-01,4.3
1922-11-01,4.33
1922-12-01,4.32
1923-01-01,4.32
1923-02-01,4.33
1923-03-01,4.38
1923-04-01,4.39
1923-05-01,4.37
1923-06-01,4.34
1923-07-01,4.34
1923-08-01,4.35
1923-09-01,4.36
1923-10-01,4.4
1923-11-01,4.37
1923-12-01,4.35
1924-01-01,4.3
1924-02-01,4.28
1924-03-01,4.28
1924-04-01,4.23
1924-05-01,4.15
1924-06-01,3.98
1924-07-01,3.94
1924-08-01,3.91
1924-09-01,3.92
1924-10-01,3.87
1924-11-01,3.9
1924-12-01,3.96
1925-01-01,3.96
1925-02-01,3.95
1925-03-01,3.96
1925-04-01,3.93
1925-05-01,3.87
1925-06-01,3.79
1925-07-01,3.79
1925-08-01,3.85
1925-09-01,3.85
1925-10-01,3.82
1925-11-01,3.79
1925-12-01,3.8
1926-01-01,3.77
1926-02-01,3.71
1926-03-01,3.71
1926-04-01,3.7
1926-05-01,3.67
1926-06-01,3.67
1926-07-01,3.68
1926-08-01,3.7
1926-09-01,3.7
1926-10-01,3.68
1926-11-01,3.62
1926-12-01,3.56
1927-01-01,3.51
1927-02-01,3.48
1927-03-01,3.37
1927-04-01,3.35
1927-05-01,3.31
1927-06-01,3.34
1927-07-01,3.36
1927-08-01,3.32
1927-09-01,3.3
1927-10-01,3.29
1927-11-01,3.23
1927-12-01,3.17
1928-01-01,3.18
1928-02-01,3.19
1928-03-01,3.17
1928-04-01,3.2
1928-05-01,3.24
1928-06-01,3.29
1928-07-01,3.42
1928-08-01,3.48
1928-09-01,3.46
1928-10-01,3.47
1928-11-01,3.38
1928-12-01,3.45
1929-01-01,3.52
1929-02-01,3.62
1929-03-01,3.74
1929-04-01,3.64
1929-05-01,3.64
1929-06-01,3.69
1929-07-01,3.64
1929-08-01,3.71
1929-09-01,3.7
1929-10-01,3.61
1929-11-01,3.35
1929-12-01,3.36
1930-01-01,3.43
1930-02-01,3.41
1930-03-01,3.29
1930-04-01,3.37
1930-05-01,3.31
1930-06-01,3.25
1930-07-01,3.25
1930-08-01,3.26
1930-09-01,3.24
1930-10-01,3.21
1930-11-01,3.19
1930-12-01,3.22
1931-01-01,3.2
1931-02-01,3.3
1931-03-01,3.27
1931-04-01,3.26
1931-05-01,3.16
1931-06-01,3.13
1931-07-01,3.15
1931-08-01,3.18
1931-09-01,3.25
1931-10-01,3.63
1931-11-01,3.63
1931-12-01,3.93
1932-01-01,4.26
1932-02-01,4.11
1932-03-01,3.92
1932-04-01,3.68
1932-05-01,3.76
1932-06-01,3.76
1932-07-01,3.58
1932-08-01,3.45
1932-09-01,3.42
1932-10-01,3.43
1932-11-01,3.45
1932-12-01,3.35
1933-01-01,3.22
1933-02-01,3.31
1933-03-01,3.42
1933-04-01,3.42
1933-05-01,3.3
1933-06-01,3.21
1933-07-01,3.2
1933-08-01,3.21
1933-09-01,3.19
1933-10-01,3.22
1933-11-01,3.46
1933-12-01,3.53
1934-01-01,3.5
1934-02-01,3.32
1934-03-01,3.2
1934-04-01,3.11
1934-05-01,3.02
1934-06-01,2.98
1934-07-01,2.92
1934-08-01,3.03
1934-09-01,3.2
1934-10-01,3.1
1934-11-01,3.07
1934-12-01,3.01
1935-01-01,2.88
1935-02-01,2.79
1935-03-01,2.77
1935-04-01,2.74
1935-05-01,2.72
1935-06-01,2.72
1935-07-01,2.69
1935-08-01,2.76
1935-09-01,2.85
1935-10-01,2.85
1935-11-01,2.83
1935-12-01,2.83
1936-01-01,2.8
1936-02-01,2.77
1936-03-01,2.71
1936-04-01,2.68
1936-05-01,2.66
1936-06-01,2.66
1936-07-01,2.65
1936-08-01,2.61
1936-09-01,2.6
1936-10-01,2.62
1936-11-01,2.53
1936-12-01,2.51
1937-01-01,2.47
1937-02-01,2.46
1937-03-01,2.6
1937-04-01,2.8
1937-05-01,2.76
1937-06-01,2.76
1937-07-01,2.72
1937-08-01,2.72
1937-09-01,2.77
1937-10-01,2.76
1937-11-01,2.71
1937-12-01,2.67
1938-01-01,2.65
1938-02-01,2.64
1938-03-01,2.64
1938-04-01,2.62
1938-05-01,2.51
1938-06-01,2.52
1938-07-01,2.52
1938-08-01,2.51
1938-09-01,2.58
1938-10-01,2.48
1938-11-01,2.5
1938-12-01,2.49
1939-01-01,2.47
1939-02-01,2.44
1939-03-01,2.34
1939-04-01,2.3
1939-05-01,2.17
1939-06-01,2.13
1939-07-01,2.16
1939-08-01,2.21
1939-09-01,2.65
1939-10-01,2.6
1939-11-01,2.46
1939-12-01,2.35
1940-01-01,2.3
1940-02-01,2.32
1940-03-01,2.25
1940-04-01,2.25
1940-05-01,2.38
1940-06-01,2.39
1940-07-01,2.28
1940-08-01,2.25
1940-09-01,2.18
1940-10-01,2.1
1940-11-01,1.97
1940-12-01,1.89
1941-01-01,1.99
1941-02-01,2.1
1941-03-01,2.01
1941-04-01,1.96
1941-05-01,1.92
1941-06-01,1.91
1941-07-01,1.9
1941-08-01,1.94
1941-09-01,1.94
1941-10-01,1.88
1941-11-01,1.85
1941-12-01,1.96
1942-01-01,2.01
1942-02-01,2.09
1942-03-01,2
1942-04-01,1.98
1942-05-01,1.97
1942-06-01,1.97
1942-07-01,2
1942-08-01,2.02
1942-09-01,2.03
