"Date","RIFLPBCIANM60NM"
2006-08-01,7.82
2006-09-01,NA
2006-10-01,NA
2006-11-01,7.78
2006-12-01,NA
2007-01-01,NA
2007-02-01,7.71
2007-03-01,NA
2007-04-01,NA
2007-05-01,7.78
2007-06-01,NA
2007-07-01,NA
2007-08-01,7.77
2007-09-01,NA
2007-10-01,NA
2007-11-01,7.6
2007-12-01,NA
2008-01-01,NA
2008-02-01,7.18
2008-03-01,NA
2008-04-01,NA
2008-05-01,6.93
2008-06-01,NA
2008-07-01,NA
2008-08-01,6.94
2008-09-01,NA
2008-10-01,NA
2008-11-01,7.12
2008-12-01,NA
2009-01-01,NA
2009-02-01,6.96
2009-03-01,NA
2009-04-01,NA
2009-05-01,6.93
2009-06-01,NA
2009-07-01,NA
2009-08-01,6.71
2009-09-01,NA
2009-10-01,NA
2009-11-01,6.59
2009-12-01,NA
2010-01-01,NA
2010-02-01,6.45
2010-03-01,NA
2010-04-01,NA
2010-05-01,6.38
2010-06-01,NA
2010-07-01,NA
2010-08-01,6.23
2010-09-01,NA
2010-10-01,NA
2010-11-01,6.05
2010-12-01,NA
2011-01-01,NA
2011-02-01,6.1
2011-03-01,NA
2011-04-01,NA
2011-05-01,5.83
2011-06-01,NA
2011-07-01,NA
2011-08-01,5.62
2011-09-01,NA
2011-10-01,NA
2011-11-01,5.25
2011-12-01,NA
2012-01-01,NA
2012-02-01,5.02
2012-03-01,NA
2012-04-01,NA
2012-05-01,4.87
2012-06-01,NA
2012-07-01,NA
2012-08-01,4.75
2012-09-01,NA
2012-10-01,NA
2012-11-01,4.64
2012-12-01,NA
2013-01-01,NA
2013-02-01,4.6
2013-03-01,NA
2013-04-01,NA
2013-05-01,4.34
2013-06-01,NA
2013-07-01,NA
2013-08-01,4.38
2013-09-01,NA
2013-10-01,NA
2013-11-01,4.52
2013-12-01,NA
2014-01-01,NA
2014-02-01,4.37
2014-03-01,NA
2014-04-01,NA
2014-05-01,4.46
2014-06-01,NA
2014-07-01,NA
2014-08-01,4.11
2014-09-01,NA
2014-10-01,NA
2014-11-01,4.07
2014-12-01,NA
2015-01-01,NA
2015-02-01,4.27
2015-03-01,NA
2015-04-01,NA
2015-05-01,4.21
2015-06-01,NA
2015-07-01,NA
2015-08-01,4.25
2015-09-01,NA
2015-10-01,NA
2015-11-01,4.05
2015-12-01,NA
2016-01-01,NA
2016-02-01,4.11
2016-03-01,NA
2016-04-01,NA
2016-05-01,4.15
2016-06-01,NA
2016-07-01,NA
2016-08-01,4.25
2016-09-01,NA
2016-10-01,NA
2016-11-01,4.05
2016-12-01,NA
2017-01-01,NA
2017-02-01,4.21
2017-03-01,NA
2017-04-01,NA
2017-05-01,4.24
2017-06-01,NA
2017-07-01,NA
2017-08-01,4.36
2017-09-01,NA
2017-10-01,NA
2017-11-01,4.51
2017-12-01,NA
2018-01-01,NA
2018-02-01,4.75
2018-03-01,NA
2018-04-01,NA
2018-05-01,4.99
2018-06-01,NA
2018-07-01,NA
2018-08-01,4.96
2018-09-01,NA
2018-10-01,NA
2018-11-01,5.36
2018-12-01,NA
2019-01-01,NA
2019-02-01,5.24
2019-03-01,NA
2019-04-01,NA
2019-05-01,5.36
2019-06-01,NA
2019-07-01,NA
2019-08-01,5.27
2019-09-01,NA
2019-10-01,NA
2019-11-01,5.37
2019-12-01,NA
2020-01-01,NA
2020-02-01,5.15
2020-03-01,NA
2020-04-01,NA
2020-05-01,5.14
2020-06-01,NA
2020-07-01,NA
2020-08-01,4.98
2020-09-01,NA
2020-10-01,NA
2020-11-01,4.8
2020-12-01,NA
2021-01-01,NA
2021-02-01,4.96
2021-03-01,NA
2021-04-01,NA
2021-05-01,5.05
2021-06-01,NA
2021-07-01,NA
2021-08-01,4.6
2021-09-01,NA
2021-10-01,NA
2021-11-01,4.67
2021-12-01,NA
2022-01-01,NA
2022-02-01,4.52
2022-03-01,NA
2022-04-01,NA
2022-05-01,4.85
2022-06-01,NA
2022-07-01,NA
2022-08-01,5.5
2022-09-01,NA
2022-10-01,NA
2022-11-01,6.55
2022-12-01,NA
2023-01-01,NA
2023-02-01,7.48
2023-03-01,NA
2023-04-01,NA
2023-05-01,7.81
2023-06-01,NA
2023-07-01,NA
2023-08-01,7.88
