"Date","SNDR"
2021-04-01,0.07
2021-05-01,0.06
2021-06-01,0.06
2021-07-01,0.06
2021-08-01,0.06
2021-09-01,0.06
2021-10-01,0.06
2021-11-01,0.06
2021-12-01,0.06
2022-01-01,0.06
2022-02-01,0.06
2022-03-01,0.06
2022-04-01,0.06
2022-05-01,0.06
2022-06-01,0.07
2022-07-01,0.1
2022-08-01,0.13
2022-09-01,0.17
2022-10-01,0.21
2022-11-01,0.24
2022-12-01,0.3
2023-01-01,0.33
2023-02-01,0.35
2023-03-01,0.37
2023-04-01,0.37
2023-05-01,0.39
2023-06-01,0.4
2023-07-01,0.42
2023-08-01,0.42
2023-09-01,0.45
2023-10-01,0.46
2023-11-01,0.46
