"Date","T5YIEM"
2003-01-01,1.4
2003-02-01,1.66
2003-03-01,1.69
2003-04-01,1.57
2003-05-01,1.34
2003-06-01,1.36
2003-07-01,1.57
2003-08-01,1.89
2003-09-01,1.89
2003-10-01,1.98
2003-11-01,2.02
2003-12-01,2.04
2004-01-01,2.03
2004-02-01,2.21
2004-03-01,2.27
2004-04-01,2.37
2004-05-01,2.51
2004-06-01,2.52
2004-07-01,2.4
2004-08-01,2.35
2004-09-01,2.26
2004-10-01,2.38
2004-11-01,2.63
2004-12-01,2.68
2005-01-01,2.58
2005-02-01,2.69
2005-03-01,2.88
2005-04-01,2.77
2005-05-01,2.57
2005-06-01,2.38
2005-07-01,2.31
2005-08-01,2.41
2005-09-01,2.61
2005-10-01,2.63
2005-11-01,2.48
2005-12-01,2.3
2006-01-01,2.42
2006-02-01,2.59
2006-03-01,2.63
2006-04-01,2.64
2006-05-01,2.7
2006-06-01,2.62
2006-07-01,2.58
2006-08-01,2.55
2006-09-01,2.29
2006-10-01,2.18
2006-11-01,2.17
2006-12-01,2.25
2007-01-01,2.28
2007-02-01,2.37
2007-03-01,2.44
2007-04-01,2.47
2007-05-01,2.38
2007-06-01,2.38
2007-07-01,2.28
2007-08-01,2.04
2007-09-01,2.06
2007-10-01,2.19
2007-11-01,2.32
2007-12-01,2.22
2008-01-01,2.12
2008-02-01,2.13
2008-03-01,2.25
2008-04-01,2.22
2008-05-01,2.36
2008-06-01,2.52
2008-07-01,2.46
2008-08-01,1.99
2008-09-01,1.33
2008-10-01,-0.02
2008-11-01,-1.4
2008-12-01,-0.24
2009-01-01,0.01
2009-02-01,0.58
2009-03-01,0.59
2009-04-01,0.75
2009-05-01,1.06
2009-06-01,1.53
2009-07-01,1.28
2009-08-01,1.28
2009-09-01,1.34
2009-10-01,1.5
2009-11-01,1.75
2009-12-01,1.91
2010-01-01,2.06
2010-02-01,1.94
2010-03-01,1.87
2010-04-01,1.96
2010-05-01,1.77
2010-06-01,1.66
2010-07-01,1.42
2010-08-01,1.34
2010-09-01,1.28
2010-10-01,1.5
2010-11-01,1.56
2010-12-01,1.72
2011-01-01,1.93
2011-02-01,2.01
2011-03-01,2.2
2011-04-01,2.31
2011-05-01,2.18
2011-06-01,1.96
2011-07-01,2.03
2011-08-01,1.77
2011-09-01,1.62
2011-10-01,1.69
2011-11-01,1.76
2011-12-01,1.67
2012-01-01,1.76
2012-02-01,1.94
2012-03-01,2.05
2012-04-01,1.95
2012-05-01,1.88
2012-06-01,1.76
2012-07-01,1.77
2012-08-01,1.9
2012-09-01,2.14
2012-10-01,2.18
2012-11-01,2.05
2012-12-01,2.1
2013-01-01,2.2
2013-02-01,2.24
2013-03-01,2.25
2013-04-01,2.09
2013-05-01,1.98
2013-06-01,1.79
2013-07-01,1.85
2013-08-01,1.85
2013-09-01,1.77
2013-10-01,1.78
2013-11-01,1.75
2013-12-01,1.67
2014-01-01,1.74
2014-02-01,1.78
2014-03-01,1.78
2014-04-01,1.81
2014-05-01,1.93
2014-06-01,1.97
2014-07-01,1.97
2014-08-01,1.84
2014-09-01,1.67
2014-10-01,1.49
2014-11-01,1.48
2014-12-01,1.27
2015-01-01,1.2
2015-02-01,1.36
2015-03-01,1.48
2015-04-01,1.61
2015-05-01,1.64
2015-06-01,1.63
2015-07-01,1.49
2015-08-01,1.23
2015-09-01,1.16
2015-10-01,1.18
2015-11-01,1.27
2015-12-01,1.24
2016-01-01,1.19
2016-02-01,1.08
2016-03-01,1.41
2016-04-01,1.48
2016-05-01,1.52
2016-06-01,1.44
2016-07-01,1.39
2016-08-01,1.3
2016-09-01,1.35
2016-10-01,1.53
2016-11-01,1.67
2016-12-01,1.81
2017-01-01,1.89
2017-02-01,1.89
2017-03-01,1.83
2017-04-01,1.74
2017-05-01,1.75
2017-06-01,1.63
2017-07-01,1.64
2017-08-01,1.62
2017-09-01,1.68
2017-10-01,1.73
2017-11-01,1.75
2017-12-01,1.76
2018-01-01,1.93
2018-02-01,1.97
2018-03-01,2.02
2018-04-01,2.05
2018-05-01,2.1
2018-06-01,2.07
2018-07-01,2.04
2018-08-01,1.98
2018-09-01,2
2018-10-01,1.99
2018-11-01,1.85
2018-12-01,1.6
2019-01-01,1.63
2019-02-01,1.76
2019-03-01,1.82
2019-04-01,1.84
2019-05-01,1.71
2019-06-01,1.55
2019-07-01,1.58
2019-08-01,1.38
2019-09-01,1.39
2019-10-01,1.4
2019-11-01,1.55
2019-12-01,1.62
2020-01-01,1.65
2020-02-01,1.58
2020-03-01,0.67
2020-04-01,0.76
2020-05-01,0.77
2020-06-01,1.01
2020-07-01,1.31
2020-08-01,1.55
2020-09-01,1.53
2020-10-01,1.56
2020-11-01,1.63
2020-12-01,1.87
2021-01-01,2.1
2021-02-01,2.31
2021-03-01,2.5
2021-04-01,2.53
2021-05-01,2.65
2021-06-01,2.46
2021-07-01,2.5
2021-08-01,2.49
2021-09-01,2.5
2021-10-01,2.75
2021-11-01,2.98
2021-12-01,2.75
2022-01-01,2.8
2022-02-01,2.87
2022-03-01,3.41
2022-04-01,3.32
2022-05-01,3.03
2022-06-01,2.89
2022-07-01,2.58
2022-08-01,2.68
2022-09-01,2.45
2022-10-01,2.47
2022-11-01,2.44
2022-12-01,2.32
2023-01-01,2.23
2023-02-01,2.45
2023-03-01,2.38
2023-04-01,2.31
2023-05-01,2.16
2023-06-01,2.14
2023-07-01,2.21
2023-08-01,2.24
2023-09-01,2.25
2023-10-01,2.31
2023-11-01,2.25
