"Date","HQMCB42Y6M"
1994-06-01,8.85
1994-07-01,8.95
1994-08-01,8.89
1994-09-01,9.19
1994-10-01,9.28
1994-11-01,9.27
1994-12-01,8.84
1995-01-01,8.88
1995-02-01,8.85
1995-03-01,8.92
1995-04-01,8.93
1995-05-01,8.5
1995-06-01,8.19
1995-07-01,8.4
1995-08-01,8.51
1995-09-01,8.28
1995-10-01,7.99
1995-11-01,7.83
1995-12-01,7.62
1996-01-01,7.62
1996-02-01,7.97
1996-03-01,8.29
1996-04-01,8.41
1996-05-01,8.36
1996-06-01,8.43
1996-07-01,8.37
1996-08-01,8.17
1996-09-01,8.38
1996-10-01,8.17
1996-11-01,7.88
1996-12-01,7.93
1997-01-01,8.12
1997-02-01,8.02
1997-03-01,8.26
1997-04-01,8.45
1997-05-01,8.36
1997-06-01,8.23
1997-07-01,7.92
1997-08-01,7.94
1997-09-01,7.88
1997-10-01,7.74
1997-11-01,7.54
1997-12-01,7.35
1998-01-01,7.3
1998-02-01,7.37
1998-03-01,7.35
1998-04-01,7.3
1998-05-01,7.25
1998-06-01,7.02
1998-07-01,7.09
1998-08-01,7.13
1998-09-01,7.4
1998-10-01,7.59
1998-11-01,7.54
1998-12-01,7.29
1999-01-01,7.29
1999-02-01,7.3
1999-03-01,7.46
1999-04-01,7.45
1999-05-01,7.64
1999-06-01,7.85
1999-07-01,7.84
1999-08-01,8.05
1999-09-01,8.2
1999-10-01,8.34
1999-11-01,8.02
1999-12-01,8.11
2000-01-01,8.12
2000-02-01,7.97
2000-03-01,8.14
2000-04-01,8.21
2000-05-01,8.55
2000-06-01,8.15
2000-07-01,8.02
2000-08-01,8.05
2000-09-01,8.29
2000-10-01,8.41
2000-11-01,8.38
2000-12-01,8.35
2001-01-01,8.06
2001-02-01,7.99
2001-03-01,8.02
2001-04-01,8.28
2001-05-01,8.11
2001-06-01,7.93
2001-07-01,7.88
2001-08-01,7.84
2001-09-01,8.32
2001-10-01,7.98
2001-11-01,7.55
2001-12-01,7.46
2002-01-01,7.26
2002-02-01,7.19
2002-03-01,7.47
2002-04-01,7.55
2002-05-01,7.58
2002-06-01,7.56
2002-07-01,7.82
2002-08-01,7.78
2002-09-01,7.35
2002-10-01,7.78
2002-11-01,7.53
2002-12-01,7.32
2003-01-01,7.38
2003-02-01,7.13
2003-03-01,7.18
2003-04-01,7.13
2003-05-01,6.6
2003-06-01,6.53
2003-07-01,7.12
2003-08-01,7.54
2003-09-01,7.26
2003-10-01,7.21
2003-11-01,7.07
2003-12-01,7.03
2004-01-01,6.95
2004-02-01,6.95
2004-03-01,6.81
2004-04-01,7.09
2004-05-01,7.28
2004-06-01,7.16
2004-07-01,7.03
2004-08-01,6.95
2004-09-01,6.76
2004-10-01,6.7
2004-11-01,6.57
2004-12-01,6.43
2005-01-01,6.22
2005-02-01,5.96
2005-03-01,6.17
2005-04-01,6.18
2005-05-01,6.13
2005-06-01,5.9
2005-07-01,5.98
2005-08-01,5.99
2005-09-01,6.11
2005-10-01,6.33
2005-11-01,6.4
2005-12-01,6.29
2006-01-01,6.19
2006-02-01,6.13
2006-03-01,6.35
2006-04-01,6.72
2006-05-01,6.84
2006-06-01,6.83
2006-07-01,6.79
2006-08-01,6.64
2006-09-01,6.46
2006-10-01,6.4
2006-11-01,6.1
2006-12-01,6.12
2007-01-01,6.25
2007-02-01,6.15
2007-03-01,6.22
2007-04-01,6.37
2007-05-01,6.35
2007-06-01,6.63
2007-07-01,6.63
2007-08-01,6.69
2007-09-01,6.58
2007-10-01,6.39
2007-11-01,6.5
2007-12-01,6.72
2008-01-01,6.75
2008-02-01,7.11
2008-03-01,7.01
2008-04-01,7
2008-05-01,6.78
2008-06-01,6.95
2008-07-01,7.03
2008-08-01,6.89
2008-09-01,6.82
2008-10-01,7.12
2008-11-01,7.32
2008-12-01,6.27
2009-01-01,6.24
2009-02-01,7.07
2009-03-01,7.88
2009-04-01,6.88
2009-05-01,6.71
2009-06-01,6.52
2009-07-01,6.45
2009-08-01,6.19
2009-09-01,6.08
2009-10-01,6.08
2009-11-01,6.32
2009-12-01,6.49
2010-01-01,6.5
2010-02-01,6.67
2010-03-01,6.63
2010-04-01,6.51
2010-05-01,6.3
2010-06-01,6.34
2010-07-01,6.16
2010-08-01,5.93
2010-09-01,6.11
2010-10-01,6.31
2010-11-01,6.62
2010-12-01,6.61
2011-01-01,6.48
2011-02-01,6.61
2011-03-01,6.53
2011-04-01,6.52
2011-05-01,6.28
2011-06-01,6.4
2011-07-01,6.36
2011-08-01,6.11
2011-09-01,5.89
2011-10-01,5.55
2011-11-01,5.3
2011-12-01,5.28
2012-01-01,5.22
2012-02-01,5.1
2012-03-01,5.21
2012-04-01,5.17
2012-05-01,5.08
2012-06-01,4.97
2012-07-01,4.52
2012-08-01,4.53
2012-09-01,4.7
2012-10-01,4.62
2012-11-01,4.64
2012-12-01,4.82
2013-01-01,4.93
2013-02-01,5.07
2013-03-01,5.17
2013-04-01,4.94
2013-05-01,5.07
2013-06-01,5.48
2013-07-01,5.48
2013-08-01,5.61
2013-09-01,5.66
2013-10-01,5.57
2013-11-01,5.71
2013-12-01,5.64
2014-01-01,5.44
2014-02-01,5.41
2014-03-01,5.36
2014-04-01,5.2
2014-05-01,5.07
2014-06-01,5.15
2014-07-01,5.08
2014-08-01,5.02
2014-09-01,5.1
2014-10-01,4.94
2014-11-01,5.03
2014-12-01,4.85
2015-01-01,4.45
2015-02-01,4.52
2015-03-01,4.55
2015-04-01,4.51
2015-05-01,5.04
2015-06-01,5.26
2015-07-01,5.18
2015-08-01,5.03
2015-09-01,5.11
2015-10-01,5.08
2015-11-01,5.18
2015-12-01,5.04
2016-01-01,5.06
2016-02-01,5.08
2016-03-01,4.88
2016-04-01,4.66
2016-05-01,4.67
2016-06-01,4.53
2016-07-01,4.2
2016-08-01,4.22
2016-09-01,4.34
2016-10-01,4.44
2016-11-01,4.75
2016-12-01,4.86
2017-01-01,4.69
2017-02-01,4.73
2017-03-01,4.8
2017-04-01,4.7
2017-05-01,4.66
2017-06-01,4.43
2017-07-01,4.41
2017-08-01,4.4
2017-09-01,4.39
2017-10-01,4.3
2017-11-01,4.28
2017-12-01,4.14
2018-01-01,4.17
2018-02-01,4.35
2018-03-01,4.45
2018-04-01,4.45
2018-05-01,4.6
2018-06-01,4.62
2018-07-01,4.48
2018-08-01,4.46
2018-09-01,4.56
2018-10-01,4.73
2018-11-01,4.9
2018-12-01,4.71
2019-01-01,4.61
2019-02-01,4.41
2019-03-01,4.43
2019-04-01,4.34
2019-05-01,4.36
2019-06-01,4.19
2019-07-01,4.04
2019-08-01,3.64
2019-09-01,3.68
2019-10-01,3.68
2019-11-01,3.71
2019-12-01,3.61
2020-01-01,3.57
2020-02-01,3.38
2020-03-01,3.77
2020-04-01,3.24
2020-05-01,3.5
2020-06-01,3.35
2020-07-01,3.04
2020-08-01,3.06
2020-09-01,3.19
2020-10-01,3.32
2020-11-01,3.12
2020-12-01,3.03
2021-01-01,3.2
2021-02-01,3.5
2021-03-01,3.72
2021-04-01,3.49
2021-05-01,3.56
2021-06-01,3.34
2021-07-01,3.11
2021-08-01,3.14
2021-09-01,3.08
2021-10-01,3.17
2021-11-01,3.08
2021-12-01,3.1
2022-01-01,3.36
2022-02-01,3.71
2022-03-01,3.93
2022-04-01,4.14
2022-05-01,4.67
2022-06-01,4.75
2022-07-01,4.71
2022-08-01,4.68
2022-09-01,5.03
2022-10-01,5.64
2022-11-01,5.37
2022-12-01,4.81
2023-01-01,4.82
2023-02-01,4.93
2023-03-01,5.13
2023-04-01,5.13
2023-05-01,5.35
2023-06-01,5.14
2023-07-01,5.07
2023-08-01,5.41
2023-09-01,5.54
2023-10-01,6.18
2023-11-01,5.83
