"Date","MMNDRRCA"
2021-04-01,0.85
2021-05-01,0.81
2021-06-01,0.85
2021-07-01,0.83
2021-08-01,0.83
2021-09-01,0.83
2021-10-01,0.83
2021-11-01,0.83
2021-12-01,0.81
2022-01-01,0.82
2022-02-01,0.83
2022-03-01,0.83
2022-04-01,0.83
2022-05-01,0.83
2022-06-01,0.83
2022-07-01,0.87
2022-08-01,0.89
2022-09-01,0.93
2022-10-01,0.98
2022-11-01,1.04
2022-12-01,1.13
2023-01-01,1.19
2023-02-01,1.23
2023-03-01,1.29
2023-04-01,1.29
2023-05-01,1.32
2023-06-01,1.34
2023-07-01,1.38
2023-08-01,1.38
2023-09-01,1.4
2023-10-01,1.4
2023-11-01,1.4
