"Date","HQMCB29Y6M"
1999-04-01,7.27
1999-05-01,7.51
1999-06-01,7.76
1999-07-01,7.74
1999-08-01,7.94
1999-09-01,8.06
1999-10-01,8.19
1999-11-01,7.9
1999-12-01,8.02
2000-01-01,8.1
2000-02-01,7.96
2000-03-01,8.08
2000-04-01,8.12
2000-05-01,8.5
2000-06-01,8.12
2000-07-01,8
2000-08-01,7.99
2000-09-01,8.2
2000-10-01,8.3
2000-11-01,8.27
2000-12-01,8.17
2001-01-01,7.91
2001-02-01,7.83
2001-03-01,7.82
2001-04-01,8.08
2001-05-01,7.96
2001-06-01,7.78
2001-07-01,7.73
2001-08-01,7.66
2001-09-01,8.08
2001-10-01,7.75
2001-11-01,7.36
2001-12-01,7.35
2002-01-01,7.18
2002-02-01,7.1
2002-03-01,7.38
2002-04-01,7.44
2002-05-01,7.47
2002-06-01,7.41
2002-07-01,7.62
2002-08-01,7.54
2002-09-01,7.13
2002-10-01,7.49
2002-11-01,7.26
2002-12-01,7.06
2003-01-01,7.08
2003-02-01,6.85
2003-03-01,6.88
2003-04-01,6.83
2003-05-01,6.33
2003-06-01,6.22
2003-07-01,6.81
2003-08-01,7.24
2003-09-01,6.98
2003-10-01,6.94
2003-11-01,6.81
2003-12-01,6.77
2004-01-01,6.68
2004-02-01,6.67
2004-03-01,6.51
2004-04-01,6.84
2004-05-01,7.07
2004-06-01,6.98
2004-07-01,6.83
2004-08-01,6.71
2004-09-01,6.53
2004-10-01,6.47
2004-11-01,6.37
2004-12-01,6.26
2005-01-01,6.07
2005-02-01,5.83
2005-03-01,6.05
2005-04-01,6.04
2005-05-01,5.96
2005-06-01,5.74
2005-07-01,5.83
2005-08-01,5.84
2005-09-01,5.94
2005-10-01,6.17
2005-11-01,6.24
2005-12-01,6.14
2006-01-01,6.05
2006-02-01,6.03
2006-03-01,6.24
2006-04-01,6.59
2006-05-01,6.72
2006-06-01,6.71
2006-07-01,6.67
2006-08-01,6.51
2006-09-01,6.34
2006-10-01,6.29
2006-11-01,6.02
2006-12-01,6.03
2007-01-01,6.16
2007-02-01,6.09
2007-03-01,6.13
2007-04-01,6.28
2007-05-01,6.27
2007-06-01,6.56
2007-07-01,6.56
2007-08-01,6.61
2007-09-01,6.51
2007-10-01,6.34
2007-11-01,6.42
2007-12-01,6.63
2008-01-01,6.65
2008-02-01,6.96
2008-03-01,6.94
2008-04-01,6.89
2008-05-01,6.75
2008-06-01,6.94
2008-07-01,7.05
2008-08-01,6.94
2008-09-01,6.98
2008-10-01,7.5
2008-11-01,7.59
2008-12-01,6.51
2009-01-01,6.43
2009-02-01,7.11
2009-03-01,7.81
2009-04-01,6.99
2009-05-01,6.86
2009-06-01,6.6
2009-07-01,6.49
2009-08-01,6.22
2009-09-01,6.06
2009-10-01,6.05
2009-11-01,6.24
2009-12-01,6.39
2010-01-01,6.4
2010-02-01,6.56
2010-03-01,6.5
2010-04-01,6.39
2010-05-01,6.18
2010-06-01,6.19
2010-07-01,6.01
2010-08-01,5.78
2010-09-01,5.89
2010-10-01,6.06
2010-11-01,6.34
2010-12-01,6.38
2011-01-01,6.3
2011-02-01,6.42
2011-03-01,6.33
2011-04-01,6.31
2011-05-01,6.08
2011-06-01,6.18
2011-07-01,6.14
2011-08-01,5.85
2011-09-01,5.64
2011-10-01,5.4
2011-11-01,5.19
2011-12-01,5.17
2012-01-01,5.12
2012-02-01,5.02
2012-03-01,5.13
2012-04-01,5.09
2012-05-01,4.97
2012-06-01,4.85
2012-07-01,4.45
2012-08-01,4.47
2012-09-01,4.61
2012-10-01,4.51
2012-11-01,4.51
2012-12-01,4.67
2013-01-01,4.79
2013-02-01,4.92
2013-03-01,5
2013-04-01,4.77
2013-05-01,4.9
2013-06-01,5.33
2013-07-01,5.37
2013-08-01,5.51
2013-09-01,5.55
2013-10-01,5.44
2013-11-01,5.57
2013-12-01,5.52
2014-01-01,5.32
2014-02-01,5.27
2014-03-01,5.21
2014-04-01,5.05
2014-05-01,4.92
2014-06-01,4.98
2014-07-01,4.91
2014-08-01,4.84
2014-09-01,4.93
2014-10-01,4.76
2014-11-01,4.85
2014-12-01,4.68
2015-01-01,4.31
2015-02-01,4.37
2015-03-01,4.41
2015-04-01,4.38
2015-05-01,4.87
2015-06-01,5.1
2015-07-01,5.04
2015-08-01,4.89
2015-09-01,4.98
2015-10-01,4.94
2015-11-01,5.04
2015-12-01,4.93
2016-01-01,4.94
2016-02-01,4.94
2016-03-01,4.76
2016-04-01,4.54
2016-05-01,4.52
2016-06-01,4.38
2016-07-01,4.08
2016-08-01,4.1
2016-09-01,4.21
2016-10-01,4.3
2016-11-01,4.63
2016-12-01,4.75
2017-01-01,4.59
2017-02-01,4.62
2017-03-01,4.68
2017-04-01,4.57
2017-05-01,4.54
2017-06-01,4.32
2017-07-01,4.31
2017-08-01,4.28
2017-09-01,4.27
2017-10-01,4.21
2017-11-01,4.17
2017-12-01,4.06
2018-01-01,4.1
2018-02-01,4.3
2018-03-01,4.38
2018-04-01,4.39
2018-05-01,4.55
2018-06-01,4.56
2018-07-01,4.46
2018-08-01,4.44
2018-09-01,4.54
2018-10-01,4.7
2018-11-01,4.84
2018-12-01,4.67
2019-01-01,4.58
2019-02-01,4.4
2019-03-01,4.4
2019-04-01,4.3
2019-05-01,4.28
2019-06-01,4.1
2019-07-01,3.95
2019-08-01,3.55
2019-09-01,3.6
2019-10-01,3.6
2019-11-01,3.63
2019-12-01,3.54
2020-01-01,3.48
2020-02-01,3.29
2020-03-01,3.66
2020-04-01,3.24
2020-05-01,3.42
2020-06-01,3.27
2020-07-01,2.95
2020-08-01,2.97
2020-09-01,3.09
2020-10-01,3.2
2020-11-01,3.03
2020-12-01,2.95
2021-01-01,3.11
2021-02-01,3.37
2021-03-01,3.63
2021-04-01,3.43
2021-05-01,3.49
2021-06-01,3.29
2021-07-01,3.06
2021-08-01,3.08
2021-09-01,3.04
2021-10-01,3.14
2021-11-01,3.06
2021-12-01,3.08
2022-01-01,3.35
2022-02-01,3.69
2022-03-01,3.94
2022-04-01,4.21
2022-05-01,4.71
2022-06-01,4.81
2022-07-01,4.75
2022-08-01,4.71
2022-09-01,5.13
2022-10-01,5.73
2022-11-01,5.47
2022-12-01,4.92
2023-01-01,4.89
2023-02-01,5
2023-03-01,5.17
2023-04-01,5.12
2023-05-01,5.34
2023-06-01,5.19
2023-07-01,5.15
2023-08-01,5.46
2023-09-01,5.6
2023-10-01,6.2
2023-11-01,5.84
