"Date","TP10J07"
1997-02-01,3.28
1997-03-01,3.44
1997-04-01,3.62
1997-05-01,3.58
1997-06-01,3.59
1997-07-01,3.64
1997-08-01,3.57
1997-09-01,3.58
1997-10-01,3.57
1997-11-01,3.54
1997-12-01,3.6
1998-01-01,3.69
1998-02-01,3.67
1998-03-01,3.73
1998-04-01,3.79
1998-05-01,3.79
1998-06-01,3.75
1998-07-01,3.8
1998-08-01,3.84
1998-09-01,3.69
1998-10-01,3.62
1998-11-01,3.77
1998-12-01,3.81
1999-01-01,3.83
1999-02-01,3.81
1999-03-01,3.93
1999-04-01,3.91
1999-05-01,3.85
1999-06-01,3.93
1999-07-01,4
1999-08-01,4.03
1999-09-01,4.07
1999-10-01,4.13
1999-11-01,4.11
1999-12-01,4.25
2000-01-01,4.37
2000-02-01,4.3
2000-03-01,4.18
2000-04-01,4
2000-05-01,4.18
2000-06-01,4.1
2000-07-01,4.04
2000-08-01,4.02
2000-09-01,4
2000-10-01,3.9
2000-11-01,3.84
2000-12-01,3.75
2001-01-01,3.45
2001-02-01,3.29
2001-03-01,3.18
2001-04-01,3.13
2001-05-01,2.95
2001-06-01,2.95
2001-07-01,3.11
2001-08-01,3.04
2001-09-01,2.92
2001-10-01,2.72
2001-11-01,2.89
2001-12-01,3.25
2002-01-01,3.16
2002-02-01,2.91
2002-03-01,2.93
2002-04-01,2.64
2002-05-01,2.5
2002-06-01,2.46
2002-07-01,2.25
2002-08-01,1.79
2002-09-01,1.48
2002-10-01,1.53
2002-11-01,1.6
2002-12-01,1.58
2003-01-01,1.31
2003-02-01,0.87
2003-03-01,0.66
2003-04-01,0.89
2003-05-01,0.73
2003-06-01,0.49
2003-07-01,0.78
2003-08-01,0.91
2003-09-01,0.68
2003-10-01,0.5
2003-11-01,0.61
2003-12-01,0.62
2004-01-01,0.44
2004-02-01,0.15
2004-03-01,-0.23
2004-04-01,0.15
2004-05-01,0.44
2004-06-01,0.53
2004-07-01,0.4
2004-08-01,0.29
2004-09-01,0.36
2004-10-01,0.22
2004-11-01,0.2
2004-12-01,0.3
2005-01-01,0.66
2005-02-01,0.67
2005-03-01,0.59
2005-04-01,0.44
2005-05-01,0.64
2005-06-01,1.06
2005-07-01,1.43
2005-08-01,1.21
2005-09-01,0.54
2005-10-01,0.91
2005-11-01,1.84
2005-12-01,2.49
2006-01-01,2.13
2006-02-01,1.73
2006-03-01,1.76
2006-04-01,1.74
2006-05-01,1.86
2006-06-01,2.46
2006-07-01,2.91
2006-08-01,3.05
2006-09-01,5.07
2006-10-01,7.73
2006-11-01,9.21
2006-12-01,8.96
