"Date","HQMCB6MT"
2005-08-01,4.18
2005-09-01,4.2
2005-10-01,4.53
2005-11-01,4.75
2005-12-01,4.84
2006-01-01,4.93
2006-02-01,5.11
2006-03-01,5.18
2006-04-01,5.32
2006-05-01,5.41
2006-06-01,5.65
2006-07-01,5.72
2006-08-01,5.58
2006-09-01,5.48
2006-10-01,5.47
2006-11-01,5.44
2006-12-01,5.39
2007-01-01,5.47
2007-02-01,5.46
2007-03-01,5.36
2007-04-01,5.42
2007-05-01,5.45
2007-06-01,5.47
2007-07-01,5.5
2007-08-01,5.47
2007-09-01,5.3
2007-10-01,5.15
2007-11-01,5.04
2007-12-01,4.93
2008-01-01,4.06
2008-02-01,3.37
2008-03-01,3.36
2008-04-01,3.42
2008-05-01,3.24
2008-06-01,3.44
2008-07-01,3.63
2008-08-01,3.79
2008-09-01,4.38
2008-10-01,5.45
2008-11-01,4.92
2008-12-01,5.42
2009-01-01,3.9
2009-02-01,4.1
2009-03-01,4.62
2009-04-01,3.55
2009-05-01,2.66
2009-06-01,2.11
2009-07-01,1.79
2009-08-01,1.48
2009-09-01,1.24
2009-10-01,1.11
2009-11-01,0.89
2009-12-01,0.79
2010-01-01,0.71
2010-02-01,0.75
2010-03-01,0.76
2010-04-01,0.8
2010-05-01,1.13
2010-06-01,1.16
2010-07-01,0.97
2010-08-01,0.82
2010-09-01,0.73
2010-10-01,0.66
2010-11-01,0.65
2010-12-01,0.59
2011-01-01,0.52
2011-02-01,0.47
2011-03-01,0.46
2011-04-01,0.44
2011-05-01,0.43
2011-06-01,0.52
2011-07-01,0.54
2011-08-01,0.6
2011-09-01,0.61
2011-10-01,0.54
2011-11-01,0.58
2011-12-01,0.67
2012-01-01,0.55
2012-02-01,0.49
2012-03-01,0.49
2012-04-01,0.48
2012-05-01,0.52
2012-06-01,0.53
2012-07-01,0.39
2012-08-01,0.37
2012-09-01,0.36
2012-10-01,0.32
2012-11-01,0.32
2012-12-01,0.32
2013-01-01,0.33
2013-02-01,0.31
2013-03-01,0.31
2013-04-01,0.27
2013-05-01,0.26
2013-06-01,0.32
2013-07-01,0.32
2013-08-01,0.31
2013-09-01,0.31
2013-10-01,0.33
2013-11-01,0.32
2013-12-01,0.27
2014-01-01,0.23
2014-02-01,0.25
2014-03-01,0.26
2014-04-01,0.21
2014-05-01,0.17
2014-06-01,0.18
2014-07-01,0.18
2014-08-01,0.16
2014-09-01,0.23
2014-10-01,0.25
2014-11-01,0.28
2014-12-01,0.33
2015-01-01,0.31
2015-02-01,0.32
2015-03-01,0.32
2015-04-01,0.3
2015-05-01,0.32
2015-06-01,0.43
2015-07-01,0.48
2015-08-01,0.55
2015-09-01,0.55
2015-10-01,0.5
2015-11-01,0.53
2015-12-01,0.71
2016-01-01,0.73
2016-02-01,0.71
2016-03-01,0.72
2016-04-01,0.66
2016-05-01,0.7
2016-06-01,0.76
2016-07-01,0.75
2016-08-01,0.79
2016-09-01,0.9
2016-10-01,0.94
2016-11-01,0.97
2016-12-01,1.12
2017-01-01,1.16
2017-02-01,1.13
2017-03-01,1.25
2017-04-01,1.28
2017-05-01,1.29
2017-06-01,1.39
2017-07-01,1.41
2017-08-01,1.44
2017-09-01,1.46
2017-10-01,1.5
2017-11-01,1.67
2017-12-01,1.83
2018-01-01,1.97
2018-02-01,2.13
2018-03-01,2.37
2018-04-01,2.43
2018-05-01,2.44
2018-06-01,2.53
2018-07-01,2.54
2018-08-01,2.52
2018-09-01,2.61
2018-10-01,2.74
2018-11-01,2.9
2018-12-01,2.98
2019-01-01,2.84
2019-02-01,2.72
2019-03-01,2.67
2019-04-01,2.65
2019-05-01,2.6
2019-06-01,2.38
2019-07-01,2.28
2019-08-01,2.09
2019-09-01,2.06
2019-10-01,1.91
2019-11-01,1.84
2019-12-01,1.85
2020-01-01,1.76
2020-02-01,1.66
2020-03-01,2.15
2020-04-01,1.42
2020-05-01,0.67
2020-06-01,0.36
2020-07-01,0.26
2020-08-01,0.19
2020-09-01,0.16
2020-10-01,0.15
2020-11-01,0.15
2020-12-01,0.16
2021-01-01,0.18
2021-02-01,0.18
2021-03-01,0.2
2021-04-01,0.18
2021-05-01,0.16
2021-06-01,0.13
2021-07-01,0.13
2021-08-01,0.13
2021-09-01,0.13
2021-10-01,0.18
2021-11-01,0.24
2021-12-01,0.31
2022-01-01,0.41
2022-02-01,0.79
2022-03-01,1.31
2022-04-01,1.72
2022-05-01,2.06
2022-06-01,2.57
2022-07-01,2.98
2022-08-01,3.25
2022-09-01,3.89
2022-10-01,4.53
2022-11-01,4.94
2022-12-01,4.96
2023-01-01,4.93
2023-02-01,5.18
2023-03-01,5.21
2023-04-01,5.29
2023-05-01,5.47
2023-06-01,5.73
2023-07-01,5.8
2023-08-01,5.8
2023-09-01,5.85
2023-10-01,5.86
2023-11-01,5.78
