"Date","HQMCB36YR"
1984-01-01,9.61
1984-02-01,10.89
1984-03-01,11.27
1984-04-01,11.52
1984-05-01,12.42
1984-06-01,12.62
1984-07-01,12.51
1984-08-01,12.04
1984-09-01,12.39
1984-10-01,10.71
1984-11-01,10.57
1984-12-01,11.38
1985-01-01,11.07
1985-02-01,10.2
1985-03-01,10.47
1985-04-01,10.31
1985-05-01,10.23
1985-06-01,9.82
1985-07-01,10.76
1985-08-01,11.05
1985-09-01,11.5
1985-10-01,11.37
1985-11-01,10.91
1985-12-01,10.35
1986-01-01,9.52
1986-02-01,9.61
1986-03-01,8.75
1986-04-01,8.44
1986-05-01,9.25
1986-06-01,9.89
1986-07-01,9.56
1986-08-01,9.72
1986-09-01,9.88
1986-10-01,9.99
1986-11-01,9.74
1986-12-01,9.46
1987-01-01,9.36
1987-02-01,9.32
1987-03-01,9.3
1987-04-01,10.1
1987-05-01,10.79
1987-06-01,10.38
1987-07-01,10.18
1987-08-01,10.27
1987-09-01,10.53
1987-10-01,10.56
1987-11-01,9.96
1987-12-01,10.07
1988-01-01,9.55
1988-02-01,9.34
1988-03-01,9.57
1988-04-01,10.13
1988-05-01,10.51
1988-06-01,10.21
1988-07-01,10.36
1988-08-01,10.28
1988-09-01,10.05
1988-10-01,9.89
1988-11-01,9.85
1988-12-01,9.8
1989-01-01,9.84
1989-02-01,9.92
1989-03-01,9.92
1989-04-01,9.74
1989-05-01,9.63
1989-06-01,9.25
1989-07-01,9.24
1989-08-01,9.22
1989-09-01,9.22
1989-10-01,9.11
1989-11-01,9
1989-12-01,8.95
1990-01-01,9.06
1990-02-01,9.3
1990-03-01,9.49
1990-04-01,9.62
1990-05-01,9.84
1990-06-01,9.66
1990-07-01,9.71
1990-08-01,10.37
1990-09-01,10.57
1990-10-01,10.65
1990-11-01,10.36
1990-12-01,10.03
1991-01-01,9.98
1991-02-01,9.63
1991-03-01,9.9
1991-04-01,9.71
1991-05-01,9.85
1991-06-01,10.08
1991-07-01,10.03
1991-08-01,9.74
1991-09-01,9.61
1991-10-01,9.82
1991-11-01,9.9
1991-12-01,9.88
1992-01-01,9.83
1992-02-01,9.82
1992-03-01,9.76
1992-04-01,9.71
1992-05-01,9.57
1992-06-01,9.53
1992-07-01,9.56
1992-08-01,9.5
1992-09-01,9.57
1992-10-01,9.92
1992-11-01,9.72
1992-12-01,9.32
1993-01-01,9.27
1993-02-01,9
1993-03-01,8.72
1993-04-01,8.87
1993-05-01,9
1993-06-01,8.83
1993-07-01,8.53
1993-08-01,8.05
1993-09-01,7.93
1993-10-01,7.95
1993-11-01,8.17
1993-12-01,8.1
1994-01-01,8.12
1994-02-01,8.19
1994-03-01,8.44
1994-04-01,8.72
1994-05-01,8.69
1994-06-01,8.79
1994-07-01,8.9
1994-08-01,8.83
1994-09-01,9.13
1994-10-01,9.23
1994-11-01,9.23
1994-12-01,8.82
1995-01-01,8.85
1995-02-01,8.8
1995-03-01,8.86
1995-04-01,8.85
1995-05-01,8.42
1995-06-01,8.1
1995-07-01,8.31
1995-08-01,8.42
1995-09-01,8.18
1995-10-01,7.9
1995-11-01,7.75
1995-12-01,7.54
1996-01-01,7.54
1996-02-01,7.88
1996-03-01,8.21
1996-04-01,8.33
1996-05-01,8.3
1996-06-01,8.38
1996-07-01,8.32
1996-08-01,8.12
1996-09-01,8.33
1996-10-01,8.11
1996-11-01,7.82
1996-12-01,7.87
1997-01-01,8.07
1997-02-01,7.96
1997-03-01,8.2
1997-04-01,8.39
1997-05-01,8.3
1997-06-01,8.15
1997-07-01,7.84
1997-08-01,7.87
1997-09-01,7.81
1997-10-01,7.67
1997-11-01,7.47
1997-12-01,7.29
1998-01-01,7.23
1998-02-01,7.31
1998-03-01,7.29
1998-04-01,7.24
1998-05-01,7.2
1998-06-01,6.97
1998-07-01,7.04
1998-08-01,7.07
1998-09-01,7.31
1998-10-01,7.48
1998-11-01,7.45
1998-12-01,7.2
1999-01-01,7.19
1999-02-01,7.22
1999-03-01,7.39
1999-04-01,7.38
1999-05-01,7.59
1999-06-01,7.81
1999-07-01,7.8
1999-08-01,8
1999-09-01,8.14
1999-10-01,8.27
1999-11-01,7.97
1999-12-01,8.07
2000-01-01,8.11
2000-02-01,7.97
2000-03-01,8.12
2000-04-01,8.17
2000-05-01,8.53
2000-06-01,8.14
2000-07-01,8.01
2000-08-01,8.03
2000-09-01,8.25
2000-10-01,8.36
2000-11-01,8.34
2000-12-01,8.28
2001-01-01,8
2001-02-01,7.93
2001-03-01,7.94
2001-04-01,8.2
2001-05-01,8.05
2001-06-01,7.87
2001-07-01,7.82
2001-08-01,7.76
2001-09-01,8.22
2001-10-01,7.89
2001-11-01,7.47
2001-12-01,7.41
2002-01-01,7.22
2002-02-01,7.15
2002-03-01,7.44
2002-04-01,7.5
2002-05-01,7.54
2002-06-01,7.5
2002-07-01,7.74
2002-08-01,7.68
2002-09-01,7.26
2002-10-01,7.66
2002-11-01,7.42
2002-12-01,7.21
2003-01-01,7.26
2003-02-01,7.02
2003-03-01,7.06
2003-04-01,7.01
2003-05-01,6.49
2003-06-01,6.4
2003-07-01,6.99
2003-08-01,7.42
2003-09-01,7.14
2003-10-01,7.1
2003-11-01,6.96
2003-12-01,6.93
2004-01-01,6.84
2004-02-01,6.83
2004-03-01,6.69
2004-04-01,6.99
2004-05-01,7.19
2004-06-01,7.09
2004-07-01,6.95
2004-08-01,6.85
2004-09-01,6.67
2004-10-01,6.61
2004-11-01,6.49
2004-12-01,6.36
2005-01-01,6.16
2005-02-01,5.91
2005-03-01,6.12
2005-04-01,6.13
2005-05-01,6.06
2005-06-01,5.84
2005-07-01,5.92
2005-08-01,5.93
2005-09-01,6.04
2005-10-01,6.26
2005-11-01,6.34
2005-12-01,6.23
2006-01-01,6.14
2006-02-01,6.09
2006-03-01,6.3
2006-04-01,6.67
2006-05-01,6.79
2006-06-01,6.78
2006-07-01,6.74
2006-08-01,6.59
2006-09-01,6.41
2006-10-01,6.36
2006-11-01,6.07
2006-12-01,6.08
2007-01-01,6.21
2007-02-01,6.12
2007-03-01,6.18
2007-04-01,6.33
2007-05-01,6.32
2007-06-01,6.6
2007-07-01,6.6
2007-08-01,6.66
2007-09-01,6.55
2007-10-01,6.37
2007-11-01,6.47
2007-12-01,6.68
2008-01-01,6.71
2008-02-01,7.05
2008-03-01,6.98
2008-04-01,6.95
2008-05-01,6.77
2008-06-01,6.95
2008-07-01,7.04
2008-08-01,6.91
2008-09-01,6.88
2008-10-01,7.28
2008-11-01,7.43
2008-12-01,6.37
2009-01-01,6.32
2009-02-01,7.08
2009-03-01,7.85
2009-04-01,6.92
2009-05-01,6.77
2009-06-01,6.55
2009-07-01,6.47
2009-08-01,6.21
2009-09-01,6.07
2009-10-01,6.06
2009-11-01,6.29
2009-12-01,6.45
2010-01-01,6.46
2010-02-01,6.63
2010-03-01,6.57
2010-04-01,6.46
2010-05-01,6.25
2010-06-01,6.28
2010-07-01,6.1
2010-08-01,5.87
2010-09-01,6.02
2010-10-01,6.21
2010-11-01,6.5
2010-12-01,6.51
2011-01-01,6.41
2011-02-01,6.53
2011-03-01,6.45
2011-04-01,6.43
2011-05-01,6.2
2011-06-01,6.31
2011-07-01,6.27
2011-08-01,6
2011-09-01,5.79
2011-10-01,5.49
