"Date","TP10L19"
2009-07-01,1.803
2009-08-01,1.759
2009-09-01,1.632
2009-10-01,1.469
2009-11-01,1.249
2009-12-01,1.331
2010-01-01,1.322
2010-02-01,1.361
2010-03-01,1.442
2010-04-01,1.423
2010-05-01,1.212
2010-06-01,1.16
2010-07-01,1.119
2010-08-01,0.885
2010-09-01,0.756
2010-10-01,0.365
2010-11-01,0.46
2010-12-01,0.835
2011-01-01,0.791
2011-02-01,0.907
2011-03-01,0.619
2011-04-01,0.51
2011-05-01,0.386
2011-06-01,0.341
2011-07-01,0.197
2011-08-01,-0.255
2011-09-01,-0.245
2011-10-01,-0.093
2011-11-01,-0.376
2011-12-01,-0.455
2012-01-01,-0.568
2012-02-01,-0.781
2012-03-01,-0.705
2012-04-01,-0.795
2012-05-01,-0.905
2012-06-01,-0.922
2012-07-01,-1
2012-08-01,-1.016
2012-09-01,-1.262
2012-10-01,-1.331
2012-11-01,-1.295
2012-12-01,-1.355
2013-01-01,-1.318
2013-02-01,-1.406
2013-03-01,-1.483
2013-04-01,-1.489
2013-05-01,-1.14
2013-06-01,-0.507
2013-07-01,-0.349
2013-08-01,-0.265
2013-09-01,-0.185
2013-10-01,-0.475
2013-11-01,-0.464
2013-12-01,-0.222
2014-01-01,-0.312
2014-02-01,-0.476
2014-03-01,-0.393
2014-04-01,-0.343
2014-05-01,-0.503
2014-06-01,-0.481
2014-07-01,-0.498
2014-08-01,-0.451
2014-09-01,-0.158
2014-10-01,-0.222
2014-11-01,-0.177
2014-12-01,0.119
2015-01-01,-0.127
2015-02-01,-0.316
2015-03-01,-0.358
2015-04-01,-0.658
2015-05-01,-0.474
2015-06-01,-0.344
2015-07-01,-0.222
2015-08-01,0.027
2015-09-01,0.075
2015-10-01,-0.064
2015-11-01,0.088
2015-12-01,0.142
2016-01-01,-0.004
2016-02-01,-0.21
2016-03-01,-0.479
2016-04-01,-0.695
2016-05-01,-0.68
2016-06-01,-0.723
2016-07-01,-0.718
2016-08-01,-0.536
2016-09-01,-0.571
2016-10-01,-0.754
2016-11-01,-0.613
2016-12-01,-0.558
2017-01-01,-0.792
2017-02-01,-0.969
2017-03-01,-0.835
2017-04-01,-0.751
2017-05-01,-0.536
2017-06-01,-0.349
2017-07-01,-0.214
2017-08-01,-0.298
2017-09-01,-0.452
2017-10-01,-0.408
2017-11-01,-0.288
2017-12-01,-0.058
2018-01-01,-0.252
2018-02-01,-0.269
2018-03-01,-0.315
2018-04-01,-0.121
2018-05-01,-0.013
2018-06-01,0.269
2018-07-01,0.465
2018-08-01,0.576
2018-09-01,0.359
2018-10-01,0.422
2018-11-01,1.127
2018-12-01,2.039
2019-01-01,1.421
2019-02-01,-0.207
2019-03-01,-1.804
2019-04-01,-3.142
2019-05-01,-3.223
2019-06-01,-2.434
